reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards,_parsed_date,reason_text
2025.9999,SPS,food," Mineral oil residues (MOSH/MOAH) in rice from India, via Belgium",12/12/2025 16:13,Germany,information notification for follow-up,potentially serious,Germany,"Belgium,India","Belgium,Germany,India","Belgium,Germany",India,"mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants},mineral oil saturated hydrocarbons (MOSH)  - {environmental pollutants}",12/12/2025 16:13," Mineral oil residues (MOSH/MOAH) in rice from India, via Belgium | mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants},mineral oil saturated hydrocarbons (MOSH)  - {environmental pollutants}"
2025.9974,Other/Unmatched,food,Food supplement with novel food ingredient from India ,12/12/2025 12:03,Austria,information notification for attention,potential risk,,India,,India,India,not in catalogue  - {not determined (other)},12/12/2025 12:03,Food supplement with novel food ingredient from India  | not in catalogue  - {not determined (other)}
2025.9947,SPS,food,Pesticides residues in food supplement from India,11/12/2025 16:38,Belgium,border rejection notification,serious,Spain,India,,"Belgium,India,Spain",India,ethylene oxide   - {pesticide residues},12/11/2025 16:38,Pesticides residues in food supplement from India | ethylene oxide   - {pesticide residues}
2025.9941,SPS,food,Oxytetracycline in frozen giant shrimp tails (Penaeus monodon) from Vietnam,11/12/2025 15:40,Germany,information notification for attention,potentially serious,,,,"Germany,Vietnam",Vietnam,oxytetracycline  residue level above MRL - {residues of veterinary medicinal products},12/11/2025 15:40,Oxytetracycline in frozen giant shrimp tails (Penaeus monodon) from Vietnam | oxytetracycline  residue level above MRL - {residues of veterinary medicinal products}
2025.9913,Other/Unmatched,food,"Pyrrolizidine alkaloids in black tea from India, via the Netherlands",11/12/2025 11:19,Belgium,alert notification,serious,"Belgium,Chad,Congo,Curaçao,Democratic Republic of the Congo,France,Guinea,Luxembourg,Mali,Netherlands","Belgium,INFOSAN","France,Luxembourg,Netherlands","Belgium,India,Netherlands",India,pyrrolizidine alkaloids   - {natural toxins (other)},12/11/2025 11:19,"Pyrrolizidine alkaloids in black tea from India, via the Netherlands | pyrrolizidine alkaloids   - {natural toxins (other)}"
2025.9911,SPS,food,Nitrofurans ((SEM) in shrimps from India,11/12/2025 10:49,Belgium,border rejection notification,potentially serious,,India,,"Belgium,India,Netherlands",India,nitrofuran (metabolite) nitrofurazone (SEM) prohibited substance - {residues of veterinary medicinal products},12/11/2025 10:49,Nitrofurans ((SEM) in shrimps from India | nitrofuran (metabolite) nitrofurazone (SEM) prohibited substance - {residues of veterinary medicinal products}
2025.991,SPS,food,chlorpyrifos in basmati rice from India,11/12/2025 10:37,Netherlands,border rejection notification,potentially serious,,,,"India,Netherlands",India,chlorpyrifos  unauthorised substance - {pesticide residues},12/11/2025 10:37,chlorpyrifos in basmati rice from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.9883,SPS,food,Leucomalachite Green in Vannamei shrimps from Vietnam,10/12/2025 15:36,Norway,information notification for attention,serious,,"INFOSAN,Vietnam",,"Norway,Vietnam",Vietnam,leucomalachite green prohibited substance - {residues of veterinary medicinal products},12/10/2025 15:36,Leucomalachite Green in Vannamei shrimps from Vietnam | leucomalachite green prohibited substance - {residues of veterinary medicinal products}
2025.9878,Other/Unmatched,food,Foreign body (metal wire) in ground black pepper from Vietnam via Turkey,10/12/2025 14:39,Germany,alert notification,serious,"Austria,Denmark,Germany",,"Austria,Denmark","Denmark,Germany,Türkiye,Vietnam",Vietnam,fragments metal wire  - {foreign bodies},12/10/2025 14:39,Foreign body (metal wire) in ground black pepper from Vietnam via Turkey | fragments metal wire  - {foreign bodies}
2025.9864,SPS,food,Chlorpyrifos in masala spice from India.,10/12/2025 12:06,Czechia,information notification for follow-up,potentially serious,,,Austria,"Austria,Czechia,India",India,chlorpyrifos  unauthorised substance - {pesticide residues},12/10/2025 12:06,Chlorpyrifos in masala spice from India. | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.9841,SPS,food,Chlorpyrifos in hulled sesame seeds from India,9/12/2025 15:46,Norway,information notification for attention,serious,Norway,INFOSAN,,"India,Norway",India,chlorpyrifos  unauthorised substance - {pesticide residues},12/9/2025 15:46,Chlorpyrifos in hulled sesame seeds from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.9806,SPS,food,Chlorpyrifos and DDT in rice from India,8/12/2025 17:06,France,border rejection notification,potentially serious,,,India,"France,India",India,chlorpyrifos  unauthorised substance - {pesticide residues},12/8/2025 17:06,Chlorpyrifos and DDT in rice from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.9754,SPS,food,Aflatoxinas en ají para seco procedente de Ecuador// Aflatoxins in ají para seco from Ecuador,5/12/2025 13:07,Spain,alert notification,serious,"Germany,Italy,Spain,United Kingdom","Ecuador,INFOSAN,United Kingdom","Germany,Italy","Ecuador,Spain",Ecuador,Aflatoxin B1   - {mycotoxins},12/5/2025 13:07,Aflatoxinas en ají para seco procedente de Ecuador// Aflatoxins in ají para seco from Ecuador | Aflatoxin B1   - {mycotoxins}
2025.9749,SPS,food,Chlorpyrifos in whole corriander seeds from India,5/12/2025 11:59,Denmark,information notification for follow-up,serious,Sweden,"INFOSAN,Sweden",Sweden,"Denmark,India,Sweden",India,"chlorpyrifos  unauthorised substance - {pesticide residues},hexaconazole  unauthorised substance - {pesticide residues}",12/5/2025 11:59,"Chlorpyrifos in whole corriander seeds from India | chlorpyrifos  unauthorised substance - {pesticide residues},hexaconazole  unauthorised substance - {pesticide residues}"
2025.9692,SPS,food,Presumptive B. cereus in Ginger from India via The Netherlands,4/12/2025 11:30,Slovenia,information notification for follow-up,potentially serious,"Estonia,Germany,Italy,Lithuania,Netherlands,Slovenia","Germany,India,Italy,Lithuania,Netherlands,Slovenia,United Kingdom","Estonia,India,Italy,Netherlands,Slovenia","Lithuania,Netherlands,Slovenia,United Kingdom",India,Bacillus cereus presumptive - {pathogenic micro-organisms},12/4/2025 11:30,Presumptive B. cereus in Ginger from India via The Netherlands | Bacillus cereus presumptive - {pathogenic micro-organisms}
2025.9602,TBT,food,Niezadawalająca kontrola identyfikacyjna (brak kodu identyfikacyjnego na przesyłce) /// no identification code on food supplement shipment from India,2/12/2025 8:19,Poland,border rejection notification,potential risk,Poland,,,"India,Poland",India,missing identification code on individual packaging  - {labelling absent/incomplete/incorrect},12/2/2025 8:19,Niezadawalająca kontrola identyfikacyjna (brak kodu identyfikacyjnego na przesyłce) /// no identification code on food supplement shipment from India | missing identification code on individual packaging  - {labelling absent/incomplete/incorrect}
