country,_date,category_class,subject,hazards,reason_text,reference
Vietnam,2025-12-11 15:40:13,SPS,Oxytetracycline in frozen giant shrimp tails (Penaeus monodon) from Vietnam,oxytetracycline  residue level above MRL - {residues of veterinary medicinal products},Oxytetracycline in frozen giant shrimp tails (Penaeus monodon) from Vietnam | oxytetracycline  residue level above MRL - {residues of veterinary medicinal products},2025.9941
India,2025-12-11 10:49:44,SPS,Nitrofurans ((SEM) in shrimps from India,nitrofuran (metabolite) nitrofurazone (SEM) prohibited substance - {residues of veterinary medicinal products},Nitrofurans ((SEM) in shrimps from India | nitrofuran (metabolite) nitrofurazone (SEM) prohibited substance - {residues of veterinary medicinal products},2025.9911
Vietnam,2025-12-10 15:36:07,SPS,Leucomalachite Green in Vannamei shrimps from Vietnam,leucomalachite green prohibited substance - {residues of veterinary medicinal products},Leucomalachite Green in Vannamei shrimps from Vietnam | leucomalachite green prohibited substance - {residues of veterinary medicinal products},2025.9883
India,2025-11-21 10:07:41,SPS,"3-amino-2-oxazolidinone (AOZ) in shrimp from India, via Belgium",nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},"3-amino-2-oxazolidinone (AOZ) in shrimp from India, via Belgium | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products}",2025.9205
Ecuador,2025-11-19 11:39:04,SPS,Vibrio cholerae in mazzancolle congelate (Litopenaeus vannamei) dall'Ecuador//Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei),Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in mazzancolle congelate (Litopenaeus vannamei) dall'Ecuador//Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei) | Vibrio cholerae  - {pathogenic micro-organisms},2025.9103
Ecuador,2025-11-07 14:37:32,SPS,Vibrio cholerae in mazzancolle (Litopenaeus vannamei) dall'Ecuador//Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei),Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in mazzancolle (Litopenaeus vannamei) dall'Ecuador//Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei) | Vibrio cholerae  - {pathogenic micro-organisms},2025.8701
Ecuador,2025-11-07 14:18:14,SPS,Vibrio cholerae in in prawns dall'Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in in prawns dall'Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2025.8695
Ecuador,2025-11-07 14:11:09,SPS,Vibrio cholerae in prawns dall'Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in prawns dall'Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2025.8694
Ecuador,2025-11-07 09:41:43,SPS,Vibrio cholerae in Prawns from Ecuador /Vibrio cholerae in mazzancolle dall'Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in Prawns from Ecuador /Vibrio cholerae in mazzancolle dall'Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2025.8663
Ecuador,2025-10-28 13:57:56,SPS,Vibrio cholerae in mazzancolle dall'Ecuador // Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei),Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in mazzancolle dall'Ecuador // Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei) | Vibrio cholerae  - {pathogenic micro-organisms},2025.8336
India,2025-10-15 11:02:30,SPS,Presenza di Salmonella spp  in Code di gamberone monocero scottate congelate IQF/Presence of Salmonella spp in IQF frozen lightly cooked prawn tails from India,Salmonella spp.  - {pathogenic micro-organisms},Presenza di Salmonella spp  in Code di gamberone monocero scottate congelate IQF/Presence of Salmonella spp in IQF frozen lightly cooked prawn tails from India | Salmonella spp.  - {pathogenic micro-organisms},2025.7903
India,2025-10-02 13:37:47,SPS,Nitrofurans in frozen shrimps from India,nitrofuran metabolite aminoguanidine (AGN) prohibited substance - {residues of veterinary medicinal products},Nitrofurans in frozen shrimps from India | nitrofuran metabolite aminoguanidine (AGN) prohibited substance - {residues of veterinary medicinal products},2025.7528
India,2025-09-17 15:52:38,SPS,Nitrofurans (NPAOZ) in frozen shrimps from India,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},Nitrofurans (NPAOZ) in frozen shrimps from India | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2025.7137
Vietnam,2025-08-18 16:00:03,SPS,Nitrofurans (AOZ) in shrimps from Vietnam,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},Nitrofurans (AOZ) in shrimps from Vietnam | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2025.6283
Vietnam,2025-08-18 15:52:49,SPS,Nitrofurans (AOZ) in shrimps from Vietnam,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},Nitrofurans (AOZ) in shrimps from Vietnam | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2025.6281
Ecuador,2025-08-05 10:20:18,Other,Presence of sulfites on a batch of shrimp from Ecuador,sulphite  unauthorised - {food additives and flavourings},Presence of sulfites on a batch of shrimp from Ecuador | sulphite  unauthorised - {food additives and flavourings},2025.5935
Vietnam,2025-08-01 14:01:52,SPS,Nitrofurans (AOZ) in shrimps from Vietnam,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},Nitrofurans (AOZ) in shrimps from Vietnam | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2025.5882
Ecuador,2025-07-15 09:59:44,SPS,Triphenylmethane dyes in shrimp (Litopenaeus vannamei) from Ecuador,"crystal violet  unauthorised substance - {residues of veterinary medicinal products},victoria pure blue BO   - {residues of veterinary medicinal products}","Triphenylmethane dyes in shrimp (Litopenaeus vannamei) from Ecuador | crystal violet  unauthorised substance - {residues of veterinary medicinal products},victoria pure blue BO   - {residues of veterinary medicinal products}",2025.5357
India,2025-07-11 16:43:41,Other,High content of sulphite in frozen blanched headless shrimps IQF (Metapenaeus monoceros) from India,sulphite  too high content - {food additives and flavourings},High content of sulphite in frozen blanched headless shrimps IQF (Metapenaeus monoceros) from India | sulphite  too high content - {food additives and flavourings},2025.5312
Ecuador,2025-07-10 17:14:58,SPS,Vibrio parahaemolyticus in frozen shrimps from Ecuador,Vibrio parahaemolyticus  - {pathogenic micro-organisms},Vibrio parahaemolyticus in frozen shrimps from Ecuador | Vibrio parahaemolyticus  - {pathogenic micro-organisms},2025.5268
