Importing Market,Exporting country,Refusal date - formating as MM-YYYY,Barrier Classification,Specific Reason of Rejection,Unique Order ID
Sweden,Ecuador,02-2024,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2024.0806
Spain,Ecuador,03-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.1629
Belgium,Ecuador,03-2024,TBT,sulphite  improperly declared - {allergens},2024.1585
Portugal,Ecuador,04-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.2828
Italy,Ecuador,04-2024,SPS,Vibrio vulnificus  - {pathogenic micro-organisms},2024.3226
Spain,Ecuador,05-2022,SPS,Vibrio cholerae NON O:1/NON O:139  - {pathogenic micro-organisms},2022.2927
Spain,Ecuador,05-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.295
Spain,Ecuador,05-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.3023
Spain,Ecuador,05-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.3394
Spain,Ecuador,05-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.3593
Italy,Ecuador,05-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.3785
Spain,Ecuador,05-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.3823
Latvia,Ecuador,05-2025,SPS,Vibrio parahaemolyticus  - {pathogenic micro-organisms},2025.3969
Spain,Ecuador,06-2022,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2022.3297
Poland,Ecuador,06-2023,SPS,Vibrio parahaemolyticus  - {pathogenic micro-organisms},2023.3709
Spain,Ecuador,06-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.4037
Spain,Ecuador,06-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.4038
Spain,Ecuador,07-2021,SPS,sulphur dioxide (SO2)   - {chemical contamination (other)},2021.3514
Spain,Ecuador,07-2022,SPS,Vibrio   - {pathogenic micro-organisms},2022.3879
