period,ISO_CNTRY_CODE,country_name,sps_tbt_category,refusal_count
2019-2023,EC,Ecuador,Other/Unmatched,30
2019-2023,EC,Ecuador,SPS,115
2019-2023,EC,Ecuador,SPS+TBT,13
2019-2023,EC,Ecuador,TBT,47
2019-2023,IN,India,Other/Unmatched,3540
2019-2023,IN,India,SPS,2616
2019-2023,IN,India,SPS+TBT,336
2019-2023,IN,India,TBT,1525
2019-2023,VN,Vietnam,Other/Unmatched,28
2019-2023,VN,Vietnam,SPS,702
2019-2023,VN,Vietnam,SPS+TBT,49
2019-2023,VN,Vietnam,TBT,162
2024-2026,EC,Ecuador,Other/Unmatched,24
2024-2026,EC,Ecuador,SPS,66
2024-2026,EC,Ecuador,SPS+TBT,6
2024-2026,EC,Ecuador,TBT,51
2024-2026,IN,India,Other/Unmatched,3692
2024-2026,IN,India,SPS,4200
2024-2026,IN,India,SPS+TBT,561
2024-2026,IN,India,TBT,1752
2024-2026,VN,Vietnam,Other/Unmatched,31
2024-2026,VN,Vietnam,SPS,466
2024-2026,VN,Vietnam,SPS+TBT,51
2024-2026,VN,Vietnam,TBT,121
