MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,REFUSAL_DATE_PARSED,refusal_row_id,mapped_charge_count,mapped_charge_categories,mapped_charge_codes,sps_tbt_category,country_name,period
3011116632,Sun Pharma Drugs Pvt Ltd,107 - 108 Plot,Ranipool,Namli,Sikkim,IN,61JDA09,25-Apr-25,DSEI,AEK-8441228-5,51,1,,No,No,75,FENOFIBRATE (ANTI-CHOLESTEREMIC),2025-04-25,0,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3016706558,TORRENT PHARMACEUTICALS LTD,"Plot 725 & 726, Unit Ii",,Gangtok,,IN,61FCY63,29-May-25,DSEI,AEK-8530931-6,22,1,,No,No,75,RIFAXIMIN (A-BACTERIAL PT. I) (NOT ANTIBIOTIC),2025-05-29,1,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3017113456,BHD INDUSTRIES LTD,Akruti Rd,,Mumbai,,IN,54FGA99,24-Jan-25,DSEI,AEK-8105701-8,11,1,,No,No,75,"HERBALS & BOTANICALS (NOT TEAS), N.E.C.",2025-01-24,2,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3033324318,MEYER ORGANICS PVT LTD,Plot No 371 Sompura Ind,,Karnataka,,IN,54BDY01,31-Jan-25,DSEI,AEK-8188090-6,61,1,,No,No,75,CALCIUM (MINERAL),2025-01-31,3,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3004604685,Medreich Sterilab Ltd,4/3 Avala Halli,,Bangalore,,IN,66VIY99,25-Mar-25,DSEI,AEK-8248834-5,21,1,,No,No,75,"MISCELLANEOUS PATENT MEDICINES, ETC.",2025-03-25,4,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3018179449,VAHDAM TEAS PVT LT,"C 12/3, Sector 85",National Capital Region,Noida,Uttar Pradesh,IN,54YCY99,22-May-25,DSEI,AEK-8510988-0,12,1,,No,No,3560,"VITAMIN, MINERAL, PROTEINS AND UNCONVENTIONAL DIETARY SPECIALITIES FOR HUMANS AND ANIMALS, N.E.C.",2025-05-22,5,1,SPS,SUPPL GMP-3560,SPS,India,2024-2026
3017201659,ABBOTT HEALTHCARE,Plot No 573,Marol Indl,Mumbai,Maharashtra,IN,62GDY41,06-Jun-25,DSEI,AEK-8522646-0,32,1,,No,No,"75, 118",IBUPROFEN (ANTI-INFLAMMATORY),2025-06-06,6,2,"Other/Unmatched, TBT","NOT LISTED-118, UNAPPROVED-75",TBT,India,2024-2026
3014195583,GLENMARK PHARMA,Glenmark House Hdo Corp,,Chakala,,IN,61FDY55,21-Jul-25,DSEI,AEK-7307295-9,92,1,,No,No,75,CIPROFLOXACIN HYDROCHLORIDE (ANTI-BACTERIAL PART I) (NOT ANTIBIOTIC),2025-07-21,7,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3009837419,AGRONIC FOOD PVT. LTD,"Plot No.2, Road #6, K. No.1049/740",Bansi 2nd Phase,Jodhpur,Rajasthan,IN,54JBR06,02-Jan-24,DSWI,AQZ-0564618-0,121,1,,Yes,Yes,9,HOLY BASIL (HERBAL & BOTANICALS II),2024-01-02,8,1,SPS,SALMONELLA-9,SPS,India,2024-2026
3016795319,MERCK SPECIALITIES PVT LTD,Plot No 0-5 Midc Aurnag,,Paithan,,IN,62OCA18,08-Aug-24,DSEI,AEK-5241577-3,11,1,,No,No,75,BISOPROLOL FUMARATE (ANTI-HYPERTENSIVE - PART II),2024-08-08,9,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
