Importing Market,Exporting country,Refusal date - formating as MM-YYYY,Barrier Classification,Specific Reason of Rejection,Unique Order ID
United States,Ecuador,Jan-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",594-0357126-4|1
United States,Ecuador,Jan-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",594-0357126-4|2
United States,Ecuador,Jan-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",594-0357126-4|3
United States,Ecuador,Jan-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",D97-1960361-2|1
United States,Ecuador,Feb-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",595-5789557-6|1
United States,Ecuador,Feb-26,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-2238810-2|1
United States,Ecuador,Mar-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",595-5789755-6|1
United States,Ecuador,Apr-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1715175-4|1
United States,Ecuador,Apr-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1715175-4|2
United States,Ecuador,Apr-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1715175-4|3
United States,Ecuador,Apr-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",D97-1959434-0|1
United States,Ecuador,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",595-5805508-9|1
United States,Ecuador,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",595-5805828-1|1
United States,Ecuador,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",595-5810518-1|1
United States,Ecuador,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AQZ-0535050-2|1
United States,Ecuador,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1730072-4|1
United States,Ecuador,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1730072-4|2
United States,Ecuador,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1730072-4|3
United States,Ecuador,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1730072-4|4
United States,Ecuador,Jun-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",224-4631282-3|1
United States,Ecuador,Jul-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",082-0431695-7|1
United States,Ecuador,Oct-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",594-0368285-5|1
United States,Ecuador,Oct-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",594-0368285-5|2
United States,Ecuador,Oct-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",594-0368285-5|3
United States,Ecuador,Nov-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,9VA-0295644-8|1
United States,Ecuador,Nov-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1959633-7|1
United States,India,Jan-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-1001211-2|1
United States,India,Jan-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-1001211-2|1
United States,India,Jan-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-1001212-0|1
United States,India,Jan-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",BUU-1260843-2|1
United States,India,Jan-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",BUU-1260843-2|1
United States,India,Jan-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",EVJ-0230585-5|2
United States,India,Jan-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",EVJ-0230585-5|4
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518487-6|1
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518487-6|2
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518487-6|4
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518633-5|1
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518633-5|2
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518633-5|3
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518633-5|4
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518633-5|5
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518633-5|6
United States,India,Jan-19,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1518634-3|1
